"MAT_ALU_MATRICULA","MAT_TUR_DIS_DISCIPLINA","DISCIPLINA","MAT_TUR_ANO","MAT_TUR_PERIODO","MAT_MEDIA_FINAL"
"d38ce708da79a247a23b546734b090ca",1307151,"Leitura e Produção de Textos",2016,1,9.3
"d38ce708da79a247a23b546734b090ca",1411167,"Programação I",2016,1,9.1
"d38ce708da79a247a23b546734b090ca",1411174,"Introdução à Computação",2016,1,8.5
"d38ce708da79a247a23b546734b090ca",1411180,"Laboratório de Programação I",2016,1,9.1
"05eeb70a9e59d4be858487cbb7dd97b8",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,NA
"05eeb70a9e59d4be858487cbb7dd97b8",1109103,"Cálculo Diferencial e Integral I",2016,1,7.4
"05eeb70a9e59d4be858487cbb7dd97b8",1307151,"Leitura e Produção de Textos",2016,1,9.7
"05eeb70a9e59d4be858487cbb7dd97b8",1411167,"Programação I",2016,1,9.2
"05eeb70a9e59d4be858487cbb7dd97b8",1411174,"Introdução à Computação",2016,1,8.5
"05eeb70a9e59d4be858487cbb7dd97b8",1411180,"Laboratório de Programação I",2016,1,9.2
"897b985ddb748d1272a87ea7b9579de6",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,5.4
"897b985ddb748d1272a87ea7b9579de6",1109103,"Cálculo Diferencial e Integral I",2016,1,7.6
"897b985ddb748d1272a87ea7b9579de6",1307151,"Leitura e Produção de Textos",2016,1,10
"897b985ddb748d1272a87ea7b9579de6",1411174,"Introdução à Computação",2016,1,8.9
"75f1062529af6b0e3dcb2600cf3a4e6c",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,7.3
"75f1062529af6b0e3dcb2600cf3a4e6c",1109103,"Cálculo Diferencial e Integral I",2016,1,8.9
"75f1062529af6b0e3dcb2600cf3a4e6c",1411167,"Programação I",2016,1,7.1
"75f1062529af6b0e3dcb2600cf3a4e6c",1411174,"Introdução à Computação",2016,1,3.9
"75f1062529af6b0e3dcb2600cf3a4e6c",1411180,"Laboratório de Programação I",2016,1,7.1
"73bc401e5a64483212fbbb144417b729",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,NA
"73bc401e5a64483212fbbb144417b729",1109103,"Cálculo Diferencial e Integral I",2016,1,7.8
"73bc401e5a64483212fbbb144417b729",1411167,"Programação I",2016,1,9
"73bc401e5a64483212fbbb144417b729",1411174,"Introdução à Computação",2016,1,7.3
"d93cfdc48be6eee0784d0e3eaea5cc6b",1307151,"Leitura e Produção de Textos",2016,1,7.8
"d93cfdc48be6eee0784d0e3eaea5cc6b",1411167,"Programação I",2016,1,5
"d93cfdc48be6eee0784d0e3eaea5cc6b",1411174,"Introdução à Computação",2016,1,5.3
"d93cfdc48be6eee0784d0e3eaea5cc6b",1411180,"Laboratório de Programação I",2016,1,5
"f6962396edb0c68fb2fade10dcd7d6a0",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,10
"f6962396edb0c68fb2fade10dcd7d6a0",1109103,"Cálculo Diferencial e Integral I",2016,1,9.3
"f6962396edb0c68fb2fade10dcd7d6a0",1307151,"Leitura e Produção de Textos",2016,1,10
"f6962396edb0c68fb2fade10dcd7d6a0",1411167,"Programação I",2016,1,8.9
"f6962396edb0c68fb2fade10dcd7d6a0",1411174,"Introdução à Computação",2016,1,9.6
"f6962396edb0c68fb2fade10dcd7d6a0",1411180,"Laboratório de Programação I",2016,1,8.9
"25f1b1556c02dca1f8671f143f282a72",1411167,"Programação I",2016,1,9.1
"25f1b1556c02dca1f8671f143f282a72",1411174,"Introdução à Computação",2016,1,8.3
"25f1b1556c02dca1f8671f143f282a72",1411180,"Laboratório de Programação I",2016,1,9.1
